"Exporter","Importer","Year","App.","Taxon","Class","Order","Family","Genus","Origin","Importer.reported.quantity","Exporter.reported.quantity","Term","Unit","Purpose","Source","id","importer_country","importer_iso3","importer_code","importer_lat","importer_long","exporter_country","exporter_iso3","exporter_code","exporter_lat","exporter_long"
"CH","ZA",2005,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,1,"ivory carvings","","","O",4830,"South Africa","ZAF",710,-29,24,"Switzerland","CHE",756,47,8
"CH","JP",1985,"II","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,95,"ivory carvings","","","",444,"Japan","JPN",392,36,138,"Switzerland","CHE",756,47,8
"CH","IT",2015,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",18,1,"ivory carvings","","T","O",7984,"Italy","ITA",380,42.8333,12.8333,"Switzerland","CHE",756,47,8
"CH","DE",2001,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,1,"ivory carvings","sets","","W",3492,"Germany","DEU",276,51,9,"Switzerland","CHE",756,47,8
"CH","IT",2000,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",2,NA,"ivory pieces","","P","O",3255,"Italy","ITA",380,42.8333,12.8333,"Switzerland","CHE",756,47,8
"CH","HK",2005,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",3,NA,"ivory carvings","","T","O",4686,"Hong Kong","HKG",344,22.25,114.1667,"Switzerland","CHE",756,47,8
"CH","FR",1984,"II","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,3,"ivory carvings","","","",340,"France","FRA",250,46,2,"Switzerland","CHE",756,47,8
"CH","IT",2011,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",1,NA,"carvings","","Q","O",6410,"Italy","ITA",380,42.8333,12.8333,"Switzerland","CHE",756,47,8
"CH","AT",2000,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",1,NA,"ivory pieces","","P","U",3118,"Austria","AUT",40,47.3333,13.3333,"Switzerland","CHE",756,47,8
"CH","FR",2010,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,1,"ivory pieces","","T","O",6039,"France","FRA",250,46,2,"Switzerland","CHE",756,47,8
"CH","RU",2014,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,1,"ivory carvings","","T","O",7734,"Russia","RUS",643,60,100,"Switzerland","CHE",756,47,8
"CH","DE",2001,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,29,"ivory carvings","","","O",3495,"Germany","DEU",276,51,9,"Switzerland","CHE",756,47,8
"CH","TH",2014,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,1,"piano keys","","P","O",7758,"Thailand","THA",764,15,100,"Switzerland","CHE",756,47,8
"CH","GB",2004,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",3,NA,"ivory carvings","","P","O",4407,"United Kingdom","GBR",826,54,-2,"Switzerland","CHE",756,47,8
"CH","CH",2007,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,1,"ivory carvings","","T","O",5097,"Switzerland","CHE",756,47,8,"Switzerland","CHE",756,47,8
"CH","PT",2005,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",3,NA,"ivory pieces","","T","O",4737,"Portugal","PRT",620,39.5,-8,"Switzerland","CHE",756,47,8
"CH","NL",1998,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,22,"ivory carvings","","","O",2652,"Netherlands","NLD",528,52.5,5.75,"Switzerland","CHE",756,47,8
"CH","CZ",2010,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",7,5,"ivory carvings","","Q","O",6015,"Czech Republic","CZE",203,49.75,15.5,"Switzerland","CHE",756,47,8
"CH","DE",1998,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,8,"ivory carvings","sets","","O",2556,"Germany","DEU",276,51,9,"Switzerland","CHE",756,47,8
"CH","US",1982,"II","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,11,"ivory carvings","","","",231,"United States","USA",840,38,-97,"Switzerland","CHE",756,47,8
"CH","US",1996,"I","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,2,"ivory carvings","sets","","O",2096,"United States","USA",840,38,-97,"Switzerland","CHE",756,47,8
"CH","AU",1982,"II","Elephantidae spp.","Mammalia","Proboscidea","Elephantidae",NA,"XX",NA,5,"ivory carvings","","","",191,"Australia","AUS",36,-27,133,"Switzerland","CHE",756,47,8
